"Question","Answer"
"Question: simplify A(Bx − C) − (Dx + E).","Answer: A(Bx − C) − (Dx + E) --> Distribute. ABx − AC − Dx − E --> Combine like terms. (AB-D)x − AC - E"
"Question: simplify A(Bx + Cy) + D(Ex − Fy).","Answer: A(Bx + Cy) + D(Ex − Fy) --> Distribute. ABx + ACy + DEx - DFy --> Combine like terms. (AB+DE)x + (AC-DF)y"
"Question: simplify A(Bx - C) - D(Ex + F).","Answer: A(Bx - C) - D(Ex + F) --> Distribute. ABx - AC - DEx - DF --> Combine like terms. (AB-DE)x - AC - DF"
"Question: simplify A(Bx − Cy) + D(Ex − Gx).","Answer: A(Bx − Cy) + D(Ex − Gx) --> Distribute. ABx - ACy + DEx - DGx --> Combine like terms. (AB+DE-DG)x - ACy"
"Question: simplify A(Bx + C) - D(Ex − Fy).","Answer: A(Bx + C) - D(Ex − Fy) --> Distribute. ABx + AC - DEx + DFy --> Combine like terms. (AB-DE)x + AC + DFy"
"Question: simplify A(Bx − C) − (Dx + E).","Answer: A(Bx − C) − (Dx + E) --> Distribute. ABx − AC − Dx − E --> Combine like terms. (AB-D)x − AC - E"
"Question: simplify A(Bx + Cy) + D(Ex − Fy).","Answer: A(Bx + Cy) + D(Ex − Fy) --> Distribute. ABx + ACy + DEx - DFy --> Combine like terms. (AB+DE)x + (AC-DF)y"
"Question: simplify A(Bx - C) - D(Ex + F).","Answer: A(Bx - C) - D(Ex + F) --> Distribute. ABx - AC - DEx - DF --> Combine like terms. (AB-DE)x - AC - DF"
"Question: simplify A(Bx − Cy) + D(Ex − Gx).","Answer: A(Bx − Cy) + D(Ex − Gx) --> Distribute. ABx - ACy + DEx - DGx --> Combine like terms. (AB+DE-DG)x - ACy"
"Question: simplify A(Bx + C) - D(Ex − Fy).","Answer: A(Bx + C) - D(Ex − Fy) --> Distribute. ABx + AC - DEx + DFy --> Combine like terms. (AB-DE)x + AC + DFy"
"Question: simplify G(Hx + Iy) + J(Kx − Ly).","Answer: G(Hx + Iy) + J(Kx − Ly) --> Distribute. GHx + GIy + JKx - JLy --> Combine like terms. (GH+JK)x + (GI-JL)y"
"Question: simplify M(Nx - O) - P(Qx + R).","Answer: M(Nx - O) - P(Qx + R) --> Distribute. MNx - MO - PQx - PR --> Combine like terms. (MN-PQ)x - MO - PR"
"Question: simplify S(Tx − Uy) + V(Wx − Xy).","Answer: S(Tx − Uy) + V(Wx − Xy) --> Distribute. STx - SUy + VWx - VXy --> Combine like terms. (ST+VW)x - (SU+VX)y"
"Question: simplify Y(Zx + A) - B(Cx − Dy).","Answer: Y(Zx + A) - B(Cx − Dy) --> Distribute. YZx + YA - BCx + BDy --> Combine like terms. (YZ-BC)x + YA + BDy"
"Question: simplify E(Fx − G) + H(Ix + Jy).","Answer: E(Fx − G) + H(Ix + Jy) --> Distribute. EFx - EG + HIx + HJy --> Combine like terms. (EF+HI)x - EG + HJy"
"Question: simplify K(Lx + M) - N(Ox − Py).","Answer: K(Lx + M) - N(Ox − Py) --> Distribute. KLx + KM - NOx + NPy --> Combine like terms. (KL-NO)x + KM + NPy"
"Question: simplify Q(Rx − S) + T(Ux + Vy).","Answer: Q(Rx − S) + T(Ux + Vy) --> Distribute. QRx - QS + TUx + TVy --> Combine like terms. (QR+TU)x - QS + TVy"
"Question: simplify W(Xx - Y) - Z(Ax + By).","Answer: W(Xx - Y) - Z(Ax + By) --> Distribute. WXx - WY - ZAx - ZBy --> Combine like terms. (WX-ZA)x - WY - ZBy"
"Question: simplify C(Dx + Ey) + F(Gx − Hy).","Answer: C(Dx + Ey) + F(Gx − Hy) --> Distribute. CDx + CEy + FGx - FHy --> Combine like terms. (CD+FG)x + (CE-FH)y"
"Question: simplify I(Jx - K) - L(Mx + Ny).","Answer: I(Jx - K) - L(Mx + Ny) --> Distribute. IJx - IK - LMx - LNy --> Combine like terms. (IJ-LM)x - IK - LNy"
"Question: simplify O(Px + Qy) + R(Sx − Ty).","Answer: O(Px + Qy) + R(Sx − Ty) --> Distribute. OPx + OQy + RSx - RTy --> Combine like terms. (OP+RS)x + (OQ-RT)y"
"Question: simplify U(Vx - W) - X(Yx + Zy).","Answer: U(Vx - W) - X(Yx + Zy) --> Distribute. UVx - UW - XYx - XZy --> Combine like terms. (UV-XY)x - UW - XZy"
"Question: simplify A1(B1x + C1y) + D1(E1x − F1y).","Answer: A1(B1x + C1y) + D1(E1x − F1y) --> Distribute. A1B1x + A1C1y + D1E1x - D1F1y --> Combine like terms. (A1B1+D1E1)x + (A1C1-D1F1)y"
"Question: simplify G1(H1x - I1) - J1(K1x + L1y).","Answer: G1(H1x - I1) - J1(K1x + L1y) --> Distribute. G1H1x - G1I1 - J1K1x - J1L1y --> Combine like terms. (G1H1-J1K1)x - G1I1 - J1L1y"
"Question: simplify M1(N1x + O1y) + P1(Q1x − R1y).","Answer: M1(N1x + O1y) + P1(Q1x − R1y) --> Distribute. M1N1x + M1O1y + P1Q1x - P1R1y --> Combine like terms. (M1N1+P1Q1)x + (M1O1-P1R1)y"
"Question: simplify S1(T1x - U1) - V1(W1x + X1y).","Answer: S1(T1x - U1) - V1(W1x + X1y) --> Distribute. S1T1x - S1U1 - V1W1x - V1X1y --> Combine like terms. (S1T1-V1W1)x - S1U1 - V1X1y"
"Question: simplify Y1(Z1x + A2y) + B2(C2x − D2y).","Answer: Y1(Z1x + A2y) + B2(C2x − D2y) --> Distribute. Y1Z1x + Y1A2y + B2C2x - B2D2y --> Combine like terms. (Y1Z1+B2C2)x + (Y1A2-B2D2)y"
"Question: simplify E2(F2x - G2) - H2(I2x + J2y).","Answer: E2(F2x - G2) - H2(I2x + J2y) --> Distribute. E2F2x - E2G2 - H2I2x - H2J2y --> Combine like terms. (E2F2-H2I2)x - E2G2 - H2J2y"
