"Question","Answer"
"Add A to both sides: x + A = B","x = B - A"
"Subtract A from both sides: x - A = B","x = B + A"
"Divide both sides by A: Ax = B","x = B/A"
"Multiply both sides by A: x/A = B","x = A*B"
"Take the square root of both sides: x^2 = A","x = sqrt(A)"
"Raise both sides to the power of 2: sqrt(x) = A","x = A^2"
"Add A to both sides: y + A = B","y = B - A"
"Subtract A from both sides: y - A = B","y = B + A"
"Divide both sides by A: Ay = B","y = B/A"
"Multiply both sides by A: y/A = B","y = A*B"
"Take the square root of both sides: y^2 = A","y = sqrt(A)"
"Raise both sides to the power of 2: sqrt(y) = A","y = A^2"
"Subtract Ax from both sides: y = B + Ax","y - B = Ax"
"Divide both sides by x: A = B/y","A*y = B"
"Factor out A: Ax + Ay = B","A(x + y) = B"
"Expand A: A(x + y) = B","Ax + Ay = B"
"Combine like terms: x + x = A","2x = A"
"Combine like terms: y + y = A","2y = A"
"Factor out A: Ax - Ay = B","A(x - y) = B"
"Expand A: A(x - y) = B","Ax - Ay = B"
"Add A to both sides: x + A = B","x = B - A"
"Subtract A from both sides: x - A = B","x = B + A"
"Divide both sides by A: Ax = B","x = B/A"
"Multiply both sides by A: x/A = B","x = A*B"
"Take the square root of both sides: x^2 = A","x = sqrt(A)"
"Raise both sides to the power of 2: sqrt(x) = A","x = A^2"
"Add A to both sides: y + A = B","y = B - A"
"Subtract A from both sides: y - A = B","y = B + A"
"Divide both sides by A: Ay = B","y = B/A"
"Multiply both sides by A: y/A = B","y = A*B"
"Take the square root of both sides: y^2 = A","y = sqrt(A)"
"Raise both sides to the power of 2: sqrt(y) = A","y = A^2"
"Subtract Ax from both sides: y = B + Ax","y - B = Ax"
"Divide both sides by x: A = B/y","A*y = B"
"Factor out A: Ax + Ay = B","A(x + y) = B"
"Expand A: A(x + y) = B","Ax + Ay = B"
"Combine like terms: x + x = A","2x = A"
"Combine like terms: y + y = A","2y = A"
"Factor out A: Ax - Ay = B","A(x - y) = B"
"Expand A: A(x - y) = B","Ax - Ay = B"
"Factor out B from both sides: Bx + By = A","B(x + y) = A"
"Subtract B from both sides: x - B = A","x = A + B"
"Divide both sides by B: Bx = A","x = A/B"
"Add B to both sides: x + B = A","x = A - B"
"Factor out B: Bx - By = A","B(x - y) = A"
"Expand B: B(x - y) = A","Bx - By = A"
"Combine like terms: z + z = A","2z = A"
"Combine like terms: z - z = B","0z = B or 0 = B"
"Divide both sides by z: A = B/z","A*z = B"
"Add z to both sides: x + z = A","x = A - z"
"Multiply both sides by z: x/z = A","x = A*z"
"Take the square root of both sides: z^2 = A","z = sqrt(A)"
"Raise both sides to the power of 2: sqrt(z) = A","z = A^2"
"Factor out A: Az - Ay = B","A(z - y) = B"
"Expand A: A(z - y) = B","Az - Ay = B"
"Factor out A: Az + Ay = B","A(z + y) = B"
"Expand A: A(z + y) = B","Az + Ay = B"
"Combine like terms: y + y = B","2y = B"
"Factor out B: By - Bz = A","B(y - z) = A"
"Expand B: B(y - z) = A","By - Bz = A"
"Factor out B: By + Bz = A","B(y + z) = A"
"Expand B: B(y + z) = A","By + Bz = A"
"Combine like terms: z + z = B","2z = B"
"Factor out z: zx + zy = A","z(x + y) = A"
"Expand z: z(x + y) = A","zx + zy = A"
"Factor out x: xy + xz = A","x(y + z) = A"
